City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,sosnovo-ozerskoye,52.5249,111.5418,-6.11,61,11,2.1,RU,1745434276
259,touros,-5.1989,-35.4608,26.09,85,100,5.8,BR,1745435427
260,chiang kham,19.5233,100.3,27.76,24,44,1.75,TH,1745435429
261,noyabrsk,63.1994,75.4507,-9.58,96,95,4.28,RU,1745435430
262,lubang,13.8584,120.124,28.15,74,3,3.14,PH,1745435431
263,tupanatinga,-8.7533,-37.3397,30.7,22,100,6.44,BR,1745435432
264,banff,51.1762,-115.5698,6.77,33,98,1.19,CA,1745435433
265,bodden town,19.2833,-81.25,28.57,64,24,7.22,KY,1745435434
266,centerville,39.6284,-84.1594,25.55,37,0,2.24,US,1745435199
267,port elizabeth,-33.918,25.5701,18.16,97,75,4.12,ZA,1745435437
268,zabid,14.1951,43.3152,29.47,52,0,2.64,YE,1745435439
269,uturoa,-16.7333,-151.4333,27.49,81,100,7.07,PF,1745435440
270,polyarnyy,69.1989,33.4478,-0.82,71,100,8.04,RU,1745435441
271,tromso,69.6496,18.957,-0.99,86,40,1.03,NO,1745435442
272,mount pearl,47.5166,-52.7813,3.51,81,100,3.97,CA,1745435443
273,dongsheng,39.8161,109.9776,3.29,26,68,2.28,CN,1745435444
274,mtwara,-10.2667,40.1833,24.91,90,3,3.33,TZ,1745435446
275,deming,32.2687,-107.7586,27.94,6,0,7.2,US,1745435447
276,belmonte,-15.8631,-38.8828,27.42,67,99,4.16,BR,1745435448
277,bukama,-9.2,25.85,22.5,92,94,0.44,CD,1745435449
278,luderitz,-26.6481,15.1594,16.95,73,0,5.94,NA,1745435450
279,tralee,52.2704,-9.7026,11.2,90,28,1.61,IE,1745435452
280,praya,14.9215,-23.5087,24.3,60,20,8.75,CV,1745435453
281,chilmari,25.5559,89.6715,26.33,89,1,9.29,BD,1745435454
282,nev'yansk,57.4953,60.2112,0.93,68,15,2.98,RU,1745435281
283,remire-montjoly,4.9167,-52.2667,31.02,70,75,5.66,GF,1745435318
284,colares,38.7992,-9.4469,20.55,68,0,6.69,PT,1745435457
285,kaohsiung,22.6163,120.3133,26.25,79,100,3.28,TW,1745435459
286,missoula,47.0166,-113.8009,9.48,33,13,1.36,US,1745435460
287,el bauga,18.262,33.9081,34.74,17,0,9.16,SD,1745435461
288,la cabima,9.1333,-79.5333,31.97,56,40,3.6,PA,1745435462
289,loango,-4.6719,11.8312,26.04,91,89,3.25,CG,1745435463
290,keskin,39.6731,33.6136,12.24,50,100,2.12,TR,1745435464
291,paita,-5.0892,-81.1144,24.99,67,11,5.73,PE,1745435465
292,shushtar,32.0455,48.8567,30.56,19,0,3.2,IR,1745435466
293,bloemfontein,-29.1211,26.214,12.48,89,100,6.91,ZA,1745435346
294,san angelo,31.4638,-100.437,27.55,62,100,4.12,US,1745435469
295,lata,40.1629,-8.3327,14.16,84,7,1.58,PT,1745435470
296,flying fish cove,-10.4217,105.6791,24.82,94,100,1.03,CX,1745435473
297,khovd,48.0056,91.6419,7.78,33,8,1.15,MN,1745435475
298,rongelap,11.1635,166.8941,27.08,75,100,6.41,MH,1745435476
299,bonthe,7.5264,-12.505,27.89,80,85,4.68,SL,1745435479
300,chonchi,-42.6128,-73.8092,14.73,69,77,0.82,CL,1745435480
301,baikunthpur,23.25,82.55,27.45,10,0,1.84,IN,1745435481
302,ancud,-41.8697,-73.8203,13.19,75,34,1.91,CL,1745435483
303,nguigmi,14.2495,13.1092,30.82,23,34,3.37,NE,1745435484
304,cockburn town,21.4612,-71.1419,25.7,76,4,5.92,TC,1745435420
305,umbertide,43.3055,12.3366,15.66,93,100,1.59,IT,1745435486
306,butembo,0.15,29.2833,15.26,98,100,1.15,CD,1745435487
307,sao tome,0.3365,6.7273,27.65,82,99,3.37,ST,1745435489
308,hoemul-li,41.4339,129.67,6.58,96,100,1.93,KP,1745435490
309,chongoyape,-6.6406,-79.3892,30.89,49,23,3.38,PE,1745435492
310,knyaze-volkonskoye,48.4642,135.4567,3.19,79,100,3.16,RU,1745435493
311,arraial do cabo,-22.9661,-42.0278,24.92,73,20,6.17,BR,1745435494
312,ankang,32.68,109.0172,19.75,35,100,0.89,CN,1745435495
313,beitbridge,-22.2167,30.0,24.89,46,71,7.36,ZW,1745435497
314,andergrove,-21.0833,149.1833,15.48,76,0,3.48,AU,1745435498
315,villamontes,-21.25,-63.5,21.69,94,100,0.0,BO,1745435500
316,yeppoon,-23.1333,150.7333,17.54,77,60,3.21,AU,1745435502
317,nuriootpa,-34.4833,139.0,12.41,77,0,1.79,AU,1745435503
318,kavali,14.9167,79.9833,27.32,85,17,5.25,IN,1745435504
319,rohtak,28.9,76.5667,29.84,6,0,2.77,IN,1745435505
